disasterNumber,incidentType,declarationTitle,fips_code,state,designatedArea,incidentBeginDate,industry,post_disaster_exits,baseline_exits,excess_exits
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Hospital & Health Care,1,1,0
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Biotechnology,0,1,-1
4798,Hurricane,HURRICANE BERYL ,48201,TX,Harris (County),2024-07-05 00:00:00+00:00,Renewables & Environment,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48085,TX,Collin (County),2024-04-26 00:00:00+00:00,Defense & Space,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Public Safety,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Retail,1,2,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Airlines/Aviation,2,2,0
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Computer Software,3,0,3
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,"Health, Wellness and Fitness",0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Insurance,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Law Practice,2,0,2
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Political Organization,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Electrical/Electronic Manufacturing,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Hospitality,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Facilities Services,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Primary/Secondary Education,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Government Administration,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Venture Capital and Private Equity Principals,2,0,2
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Marketing and Advertising,0,2,-2
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Management Consulting,3,2,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Market Research,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Information Technology and Services,2,0,2
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Telecommunications,4,2,2
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Financial Services,6,4,2
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Semiconductors,2,0,2
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Real Estate,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Professional and Technical Services,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Hospitals and Health Care,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Legal Services,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Entertainment,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Higher Education,4,0,4
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Education Management,1,1,0
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Hospital & Health Care,2,1,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Defense & Space,0,3,-3
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Biotechnology,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Furniture,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48113,TX,Dallas (County),2024-04-26 00:00:00+00:00,Aviation and Aerospace Component Manufacturing,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Services for Renewable Energy,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Computer Software,0,4,-4
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Software Development,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Non-Profit Organization Management,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Education,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Oil & Energy,1,4,-3
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Insurance,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Chemicals,1,1,0
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Executive Office,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Architecture & Planning,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Aviation & Aerospace,2,2,0
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Construction,1,1,0
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Government Administration,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Marketing and Advertising,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Oil and Gas,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Advertising Services,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Management Consulting,0,1,-1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Banking,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Information Services,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Information Technology and Services,3,2,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Financial Services,0,2,-2
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Writing and Editing,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Transportation/Trucking/Railroad,1,0,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Higher Education,6,5,1
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Education Management,5,0,5
4781,Flood,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",48201,TX,Harris (County),2024-04-26 00:00:00+00:00,Hospital & Health Care,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Retail,1,7,-6
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Design Services,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Civil Engineering,2,2,0
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Human Resources,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Law Practice,4,7,-3
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Political Organization,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,"Leisure, Travel & Tourism",1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Aviation & Aerospace,2,2,0
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Farming,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Museums and Institutions,2,2,0
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Management Consulting,6,7,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Information Services,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Information Technology and Services,6,52,-46
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Venture Capital & Private Equity,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Entertainment Providers,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Design,0,2,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Business Consulting and Services,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Professional Training & Coaching,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Alternative Medicine,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Accounting,0,2,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Software Development,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Internet Publishing,0,3,-3
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Mental Health Care,0,2,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Wellness and Fitness Services,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Architecture & Planning,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Research,6,5,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Financial Services,1,4,-3
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Real Estate,1,5,-4
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Professional and Technical Services,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Transportation/Trucking/Railroad,0,2,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Recreational Facilities and Services,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Hospitals and Health Care,0,2,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Education Management,1,3,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Hospital & Health Care,7,8,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Computer Games,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Computer Software,5,37,-32
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Fishery,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Biotechnology,5,4,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Non-Profit Organization Management,1,2,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Broadcast Media,1,1,0
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Consumer Electronics,0,6,-6
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Internet,22,113,-91
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,E-Learning,1,1,0
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Automotive,2,0,2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Primary/Secondary Education,1,1,0
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Investment Management,1,1,0
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Think Tanks,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Medical Practice,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Legal Services,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Supermarkets,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Consumer Services,3,1,2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Logistics and Supply Chain,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Aviation and Aerospace Component Manufacturing,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Public Safety,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Environmental Services,0,2,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Restaurants,0,2,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Pharmaceuticals,0,1,-1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Sports,1,0,1
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,Insurance,0,2,-2
4775,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",53033,WA,King (County),2024-01-05 00:00:00+00:00,International Affairs,0,1,-1
